car name,rating,exterior & body,engine/transmission/clutch,suspension/steering,interior,ac/heater,price,model date,mileage,fuel type,transmission,company,variant
"Honda City 1.5L ASPIRE CVT,Petrol,Automatic,2021",97,89,100,100,99,100,495000,2021,16603,2,1,11,83
"Hyundai Tucson FWD A/T GLS Sport,Petrol,Automatic,2022",97,92,100,100,96,100,750000,2022,19641,2,1,12,448
"Changan Oshan X7 Comfort,Petrol,Automatic,2022",98,94,100,100,97,100,850000,2022,28345,2,1,3,313
"Suzuki Alto L,Petrol,Automatic,2021",97,90,100,100,100,100,355000,2021,17215,2,1,26,18
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2020",89,65,100,100,96,100,610000,2020,75794,2,1,11,108
"Suzuki Cultus Auto Gear Shift,Petrol,Automatic,2021",96,92,100,100,85,100,380000,2021,28893,2,1,26,167
"KIA Sportage AWD,Petrol,Automatic,2021",94,82,100,96,100,100,760000,2021,35650,2,1,14,404
"Toyota Fortuner 2.8 Sigma 4,Diesel,Automatic,2019",88,63,100,100,93,100,13800000,2019,30940,0,1,27,215
"Honda City 1.3 i-VTEC Prosmatec,Petrol,Automatic,2019",84,49,100,100,97,100,380000,2019,40258,2,1,11,81
"Hyundai Elantra GLS,Petrol,Automatic,2022",97,91,100,100,95,100,710000,2022,10142,2,1,12,191
"Toyota Yaris ATIV CVT 1.3,Petrol,Automatic,2020",92,77,100,100,93,100,435000,2020,45945,2,1,27,495
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",97,90,100,100,100,100,635000,2021,14500,2,1,11,108
"Toyota Vitz F 1.0,Petrol,Automatic,2017",87,56,100,100,98,100,353500,2017,54597,2,1,27,465
"Toyota Corolla Altis X Automatic 1.6 Special Edition,Petrol,Automatic,2021",95,86,98,100,92,100,630000,2021,15653,2,1,27,146
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2022",100,99,100,100,100,100,635000,2022,102,2,1,27,143
"Toyota Corolla Altis X Manual 1.6,Petrol,Manual,2021",96,91,100,100,97,100,550000,2021,32907,2,0,27,150
"Peugeot 2008 Allure,Petrol,Automatic,2022",99,98,100,100,100,100,700000,2022,21135,2,1,20,3
"Toyota Vitz F 1.0,Petrol,Automatic,2019",88,71,100,100,84,100,430000,2019,42344,2,1,27,465
"Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Petrol,Automatic,2021",97,91,100,100,95,100,610000,2021,29662,2,1,27,140
"Toyota Fortuner 2.7 VVTi,Petrol,Automatic,2017",85,57,98,100,80,100,11700000,2017,72612,2,1,27,211
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",96,90,100,100,100,100,680000,2021,16848,2,1,11,108
"KIA Sportage FWD,Petrol,Automatic,2021",88,67,100,100,93,100,690000,2021,34971,2,1,14,413
"MG HS Trophy,Petrol,Automatic,2022",98,93,100,100,98,100,730000,2022,20115,2,1,15,243
"Honda N Wgn G,Petrol,Automatic,2021",95,87,100,100,96,100,339500,2021,7374,2,1,11,309
"Suzuki Wagon R AGS,Petrol,Automatic,2022",97,97,100,100,88,100,330000,2022,32443,2,1,26,473
"Suzuki Cultus VXL,Petrol,Manual,2021",96,90,100,100,95,100,330000,2021,47089,2,0,26,171
"Honda N Wgn G,Petrol,Automatic,2020",93,81,100,100,91,100,385000,2020,13616,2,1,11,309
"Honda City 1.2L CVT,Petrol,Automatic,2022",96,87,100,100,100,100,468000,2022,7499,2,1,11,74
"Hyundai Sonata 2.5,Petrol,Automatic,2021",98,93,100,100,100,100,10000000,2021,12339,2,1,12,392
"Toyota Corolla Altis Grande CVT-i 1.8,Petrol,Automatic,2017",88,61,100,100,100,100,530000,2017,76356,2,1,27,135
"DFSK Glory 580 Pro,Petrol,Automatic,2022",97,89,100,100,100,100,610000,2022,19329,2,1,5,222
