Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Price,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL
Honda City 1.5L ASPIRE CVT,9.7/10,89%,100%,100%,99%,100%,PKR 49.5 lacs,2021.0,"16,603 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-8131868
Hyundai Tucson FWD A/T GLS Sport,9.7/10,92%,100%,100%,96%,100%,PKR 75 lacs,2022.0,"19,641 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-lahore-8150540
Honda City 1.2L M/T,9.8/10,97%,100%,100%,97%,100%,PKR 43 lacs,2022.0,"15,328 km",Petrol,,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8095263
Changan Oshan X7 Comfort,9.8/10,94%,100%,100%,97%,100%,PKR 85 lacs,2022.0,"28,345 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-peshawar-7932945
Daihatsu Boon,9.8/10,94%,100%,100%,100%,100%,PKR 37.5 lacs,2019.0,"103,460 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/daihatsu-boon-2019-for-sale-in-peshawar-8075372
Suzuki Alto L,9.7/10,90%,100%,100%,100%,100%,PKR 35.5 lacs,2021.0,"17,215 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-peshawar-8147740
Honda Civic Oriel 1.8 i-VTEC CVT,8.9/10,65%,100%,100%,96%,100%,PKR 61 lacs,2020.0,"75,794 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-rawalpindi-8133549
Toyota C-HR G-LED,9.9/10,99%,100%,100%,94%,100%,PKR 82 lacs,2018.0,"49,875 km",Hybrid,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-gujranwala-8092596
Suzuki Cultus Auto Gear Shift,9.6/10,92%,100%,100%,85%,100%,PKR 38 lacs,2021.0,"28,893 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-islamabad-8147067
KIA Sportage AWD,9.4/10,82%,100%,96%,100%,100%,PKR 76 lacs,2021.0,"35,650 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-8144653
Toyota Fortuner 2.8 Sigma 4,8.8/10,63%,100%,100%,93%,100%,PKR 1.38 crore,2019.0,"30,940 km",Diesel,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2019-for-sale-in-lahore-8061338
Honda City 1.3 i-VTEC Prosmatec,8.4/10,49%,100%,100%,97%,100%,PKR 38 lacs,2019.0,"40,258 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-karachi-8147451
KIA Grand Carnival EX+,9.1/10,78%,100%,100%,100%,100%,PKR 1 crore,2019.0,"75,810 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/kia-grand-carnival-2019-for-sale-in-faisalabad-8147146
Hyundai Elantra GLS,9.7/10,91%,100%,100%,95%,100%,PKR 71 lacs,2022.0,"10,142 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/hyundai-elantra-2022-for-sale-in-lahore-8146039
Toyota Yaris ATIV CVT 1.3,9.2/10,77%,100%,100%,93%,100%,PKR 43.5 lacs,2020.0,"45,945 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-lahore-8147348
Toyota Corolla Altis 1.6 X CVT-i Special Edition,10-Oct,100%,100%,100%,100%,100%,PKR 73 lacs,,270 km,Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-peshawar-8067244
Honda Civic Oriel 1.8 i-VTEC CVT,9.7/10,90%,100%,100%,100%,100%,PKR 63.5 lacs,2021.0,"14,500 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-7590998
Toyota Vitz F 1.0,8.7/10,56%,100%,100%,98%,100%,PKR 35.35 lacs,2017.0,"54,597 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-karachi-7970794
Toyota Corolla Altis X Automatic 1.6 Special Edition,9.5/10,86%,98%,100%,92%,100%,PKR 63 lacs,2021.0,"15,653 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-lahore-8147411
Audi e-tron 50 Quattro 230 kW,9.8/10,97%,100%,100%,100%,100%,PKR 2.7 crore,2020.0,"12,035 km",,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/audi-e-tron-2020-for-sale-in-lahore-7994129
Toyota Corolla Altis X Automatic 1.6,10-Oct,99%,100%,100%,100%,100%,PKR 63.5 lacs,2022.0,102 km,Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-gujranwala-8147212
Toyota Corolla Altis X Manual 1.6,9.6/10,91%,100%,100%,97%,100%,PKR 55 lacs,2021.0,"32,907 km",Petrol,,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-rawalpindi-8119653
Peugeot 2008 Allure,9.9/10,98%,100%,100%,100%,100%,PKR 70 lacs,2022.0,"21,135 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-lahore-8012614
Toyota Vitz F 1.0,8.8/10,71%,100%,100%,84%,100%,PKR 43 lacs,2019.0,"42,344 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-vitz-2019-for-sale-in-lahore-8105707
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,9.7/10,91%,100%,100%,95%,100%,PKR 61 lacs,2021.0,"29,662 km",Petrol,Automatic,"Nov 30, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8067310
Audi A5 S-Line Competition,8.8/10,74%,100%,100%,89%,100%,PKR 1.14 crore,2015.0,"9,667 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/audi-a5-2015-for-sale-in-karachi-8043994
Toyota Fortuner 2.7 VVTi,8.5/10,57%,98%,100%,80%,100%,PKR 1.17 crore,2017.0,"72,612 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2017-for-sale-in-karachi-7892742
Honda Civic Oriel 1.8 i-VTEC CVT,9.6/10,90%,100%,100%,100%,100%,PKR 68 lacs,2021.0,"16,848 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-8054366
KIA Sportage FWD,8.8/10,67%,100%,100%,93%,100%,PKR 69 lacs,2021.0,"34,971 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-karachi-7944269
MG HS Trophy,9.8/10,93%,100%,100%,98%,100%,PKR 73 lacs,2022.0,"20,115 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mg-hs-2022-for-sale-in-lahore-8146390
Honda N Wgn G,9.5/10,87%,100%,100%,96%,100%,PKR 33.95 lacs,2021.0,"7,374 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-n-wgn-2021-for-sale-in-rawalpindi-8147746
Honda Civic Oriel,10-Oct,100%,100%,100%,100%,100%,PKR 90 lacs,,66 km,Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-lahore-8128855
Suzuki Wagon R AGS,9.7/10,97%,100%,100%,88%,100%,PKR 33 lacs,2022.0,"32,443 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-islamabad-8120961
Suzuki Cultus VXL,9.6/10,90%,100%,100%,95%,100%,PKR 33 lacs,2021.0,"47,089 km",Petrol,,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-8075714
